County,SmokingPercentage
Albany,14.3
Allegany,23.5
Bronx,11.4
Broome,24.5
Cattaraugus,26.7
Cayuga,21.0
Chautauqua,25.8
Chemung,25.9
Chenango,20.1
Clinton,24.7
Columbia,18.9
Cortland,18.3
Delaware,23.4
Dutchess,16.0
Erie,17.8
Essex,16.8
Franklin,28.8
Fulton,19.1
Genesee,24.4
Greene,14.9
Hamilton,14.5
Herkimer,25.1
Jefferson,28.0
Kings,13.2
Lewis,14.4
Livingston,16.9
Madison,21.1
Monroe,15.8
Montgomery,26.8
Nassau,8.5
New York,9.6
Niagara,23.6
Oneida,14.6
Onondaga,17.2
Ontario,21.9
Orange,12.4
Orleans,28.6
Oswego,29.0
Otsego,19.7
Putnam,16.5
Queens,10.9
Rensselaer,18.7
Richmond,12.8
Rockland,7.0
Saratoga,16.5
Schenectady,18.4
Schoharie,18.1
Schuyler,19.0
Seneca,15.3
St. Lawrence,14.4
Steuben,22.6
Suffolk,17.8
Sullivan,18.4
Tioga,20.8
Tompkins,16.1
Ulster,15.2
Warren,23.2
Washington,22.3
Wayne,24.5
Westchester,8.4
Wyoming,25.0
Yates,13.3
