County,SmokingPercentage,id
Albany,14.3,001
Allegany,23.5,003
Bronx,11.4,005
Broome,24.5,007
Cattaraugus,26.7,009
Cayuga,21.0,011
Chautauqua,25.8,013
Chemung,25.9,015
Chenango,20.1,017
Clinton,24.7,019
Columbia,18.9,021
Cortland,18.3,023
Delaware,23.4,025
Dutchess,16.0,027
Erie,17.8,029
Essex,16.8,031
Franklin,28.8,033
Fulton,19.1,035
Genesee,24.4,037
Greene,14.9,039
Hamilton,14.5,041
Herkimer,25.1,043
Jefferson,28.0,045
Kings,13.2,047
Lewis,14.4,049
Livingston,16.9,051
Madison,21.1,053
Monroe,15.8,055
Montgomery,26.8,057
Nassau,8.5,059
New York,9.6,061
Niagara,23.6,063
Oneida,14.6,065
Onondaga,17.2,067
Ontario,21.9,069
Orange,12.4,071
Orleans,28.6,073
Oswego,29.0,075
Otsego,19.7,077
Putnam,16.5,079
Queens,10.9,081
Rensselaer,18.7,083
Richmond,12.8,085
Rockland,7.0,087
Saratoga,16.5,091
Schenectady,18.4,093
Schoharie,18.1,095
Schuyler,19.0,097
Seneca,15.3,099
St. Lawrence,14.4,089
Steuben,22.6,101
Suffolk,17.8,103
Sullivan,18.4,105
Tioga,20.8,107
Tompkins,16.1,109
Ulster,15.2,111
Warren,23.2,113
Washington,22.3,115
Wayne,24.5,117
Westchester,8.4,119
Wyoming,25.0,121
Yates,13.3,123
